,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
331,CREST MEDICAL HOLDINGS LIMITED,147.43,A+,112,610,716,"5,321"
332,BENTLEY'S SEAFOOD RESTAURANTS LIMITED,55.6,D,77,282,"1,054","1,054"
333,WOODFIELD SYSTEMS LIMITED,2.43,D,64,-468,620,630
334,ONLINE DIRECT LIMITED,12.39,D,96,513,276,"1,275"
335,3LINE HOLDINGS LIMITED,99.44,D,66,421,360,521
336,IXYS UK WESTCODE LTD.,30.1,D,156,"1,334","1,859","1,859"
337,CONSUMA HOLDINGS LIMITED,25.99,D,197,866,"4,912","5,036"
338,ARMILA CAPITAL LIMITED,141.19,B+,4,-681,108,108
339,CADOGAN PETROLEUM PLC,0.64,B+,82,814,"2,584","5,879"
340,ELECTROSONIC LIMITED,30.19,D,267,"-1,031",246,246
341,SECURISPEED LIMITED,150.36,B+,130,316,"3,569","3,569"
342,FERRIS HOLIDAYS LIMITED,5.75,D,39,-235,"2,925","2,925"
343,A P WEBB (PLANT HIRE) LIMITED,66.92,D,151,"2,224","16,899","16,899"
344,JOHN ROBERTSON & SONS HAMCURERS LIMITED,96.28,B+,82,-176,"4,053","4,055"
345,SQW GROUP LIMITED,24.33,D,209,167,355,"1,091"
346,GLEN MORAY DISTILLERY LIMITED,0.95,D,29,"3,751","20,613","20,613"
347,"DEUNDI TEA COMPANY,LIMITED",68.34,D,"3,608",828,"9,630","9,630"
348,INGENIOUS RENEWABLE ENERGY LIMITED,19.85,D,3,825,131,482
349,AUSTIN (GB) LIMITED,41,D,37,981,76,76
350,BRUNTWOOD ESTATES ALPHA PORTFOLIO LIMITED,36.45,D,6,"3,850","44,668","44,668"
351,MINCON INTERNATIONAL LIMITED,111.26,D,96,"9,620","9,307","12,382"
352,GENTRACK UK LIMITED,179.59,D,187,"2,910",862,862
353,QUADRON SERVICES LIMITED,40.16,D,187,"1,113","1,945","2,699"
354,THE MELIORA GROUP LIMITED,156.97,D,144,299,"1,731","1,779"
355,LOWRY BUILDING & CIVIL ENGINEERING LTD,17.78,D,44,"1,158","2,061","2,163"
356,K. HUGHES & CO. LIMITED,82.78,D,154,"1,923","3,339","6,079"
357,SOJITZ EUROPE PLC,67.32,D,196,"3,234","1,725","29,919"
358,J.A BOLAND HOLDINGS LIMITED,30.36,D,127,"1,132","13,889","15,034"
359,GOOD ENERGY LIMITED,254.85,D,296,"3,396",398,"3,121"
360,T GILMARTIN LIMITED,4.12,D,144,"1,335",635,664
361,TOTAL CONTROL SERVICES LIMITED,16.94,D,94,96,"1,847","1,847"
362,SOUTHWARK BRIDGE HOLDINGS LIMITED,417.65,B+,105,516,115,"5,011"
363,RYAN ELIZABETH HOLDINGS PUBLIC LIMITED COMPANY,29.41,D,16,-215,69,"18,647"
364,ALDI STORES LIMITED,24.95,D,"35,359","182,151","3,973,674","3,982,481"
365,PARKLANDS LIMITED,217.35,D,511,293,"22,907","23,647"
366,NMB-MINEBEA UK LTD,201.53,D,292,"3,057","7,598","9,668"
367,KEYS HILL PARK LIMITED,7.7,D,75,548,202,202
368,ADVANCED AIR (UK) LIMITED,47.85,D,147,375,"1,274","1,274"
369,BEAUPARC UTILITIES HOLDINGS LIMITED,470.61,D,"1,402","16,874","138,849","220,660"
370,KEYLITE ROOF WINDOWS LIMITED,127.72,D,94,393,754,"3,116"
371,FERN PLASTIC PRODUCTS LIMITED,11.11,D,139,115,"1,145","1,145"
372,THORN SECURITY LIMITED,53.68,D,221,"1,161","2,808","3,908"
373,GUILDFORD PORTFOLIOS LIMITED,88.84,D,342,"-1,774","12,807","12,910"
374,CHOICE HOTELS LIMITED,83.25,A+,420,150,"11,830","12,002"
375,TBP - THE BLUEPRINT PARTNERS LIMITED,14.77,D,63,964,61,91
376,PRAHI LIMITED,464.79,D,205,-140,"10,275","13,037"
377,HADLEY INDUSTRIES PLC,58.84,D,606,"7,397","50,393","57,294"
378,IP EQUIPMENT SALES LTD.,586.48,D,16,184,458,533
379,ROUTEMATCH SOFTWARE LIMITED,90.03,D,36,112,29,29
380,GRUNDFOS (IRELAND) LIMITED,40.35,C,22,"1,338",180,180
381,KAVO DENTAL LIMITED,4.16,D,13,"3,001",2,2
382,OPTALIS HOLDINGS LIMITED,0,D,693,59,44,44
383,GEORGE SHARKEY & SONS LIMITED,43.17,D,75,"1,373",451,451
384,FIELDSTONE PRIVATE CAPITAL GROUP LIMITED,52.74,D,9,"1,219",14,14
385,BANNATYNE HOTELS LIMITED,129.66,D,222,-158,"14,199","14,199"
386,QUADIENT GLOBAL SERVICES LIMITED,107.88,D,6,"1,053",11,118
387,BFM EUROPE HOLDINGS LIMITED,125.6,D,85,"1,146","2,153","6,339"
388,APOLLO AEROSPACE COMPONENTS LIMITED,122.85,D,20,786,148,"1,340"
389,AINSCOUGH CRANE HIRE LTD,63.14,D,933,"1,657","111,884","114,711"
390,G T S FLEXIBLE MATERIALS LIMITED,2.81,D,61,"3,102","1,335","1,354"
391,FFEI LIMITED,5.01,D,74,-407,441,441
392,GILCREST GROUP LIMITED,60.29,D,31,222,"1,761","1,817"
393,THINK ONE LIMITED,119.56,D,407,"3,320","9,310","9,330"
394,NAMCO UK LIMITED,64.03,D,318,"1,579","12,303","12,303"
395,RENEGADEƒ?™S WATERFORD DISTILLERY LIMITED,55.24,D,15,-379,"11,028","11,028"
396,DENNY BROS HOLDINGS LIMITED,0.98,B+,107,"1,368","8,721","12,761"
397,TBS BUILDING SUPPLIES LTD,0.45,D,47,347,"2,531","2,536"
398,ARMSTRONG LOGISTICS LIMITED,223.29,D,340,295,"2,854","2,854"
399,BAGEL NASH (RETAIL) LIMITED,64.53,D,63,-29,413,413
400,URBAN SCIENCE INTERNATIONAL LTD.,10.17,D,54,"1,017",418,518
401,ST CHRISTOPHER'S (TRADING) LIMITED,82.15,D,36,629,232,232
402,SDI GROUP PLC,19.02,A+,121,"1,713",431,"11,195"
403,ASHDOWN PARK (SUSSEX) LIMITED,57.22,D,191,7,"13,821","13,821"
404,TECHBUYER GROUP HOLDINGS LIMITED,0.65,B+,96,"2,338",384,579
405,TIOGA LIMITED,121.36,D,111,701,"3,240","3,240"
406,L.C.P. PROPERTIES LIMITED,39.16,D,16,"11,850",8,"74,019"
407,GAC (UK) LIMITED,126.13,D,41,491,528,603
408,GOODMAN RETAIL LIMITED,369.21,D,"1,789","8,848","45,848","52,935"
409,WAVESTONE ADVISORS UK LIMITED,34.32,D,32,329,234,234
410,SAZERAC OF IRELAND UNLIMITED COMPANY,80.29,D,5,"3,759",0,"78,587"
411,ENGIE BUILDINGS LIMITED,326.77,D,579,"19,132",93,93
412,VANTEC EUROPE LIMITED,37.57,D,"1,034","3,324","20,451","20,451"
413,GEORGE THURLOW AND SONS (HOLDINGS) LIMITED,161.71,B+,643,"-2,614","17,255","21,054"
414,STAIR MASTER LTD,56.56,D,65,537,1,1
415,COBA INTERNATIONAL LIMITED,1.1,A+,937,"9,230","22,294","22,839"
416,ROSELOCK HOLDINGS LIMITED,51.71,D,55,673,344,"2,284"
417,GALLAHER LIMITED,160.74,D,564,"113,000","17,300","387,100"
418,H.S.JACKSON & SON(FENCING)LIMITED,1.69,D,276,"1,250","2,869","4,418"
419,RUXLEY MANOR GARDEN CENTRE LTD,2.94,D,200,471,"2,246","2,268"
420,HOWORTHS (NELSON) LIMITED,40.11,B+,23,80,"1,396","3,246"
421,BOEING TECHNICAL SERVICES UK LIMITED,4.27,D,201,"2,436",733,733
422,600 GROUP PUBLIC LIMITED COMPANY(THE),63.88,A+,217,"2,756","2,931","52,954"
423,AMCOL MINERALS EUROPE LIMITED,0.05,D,49,"5,200","3,016","11,289"
424,EDWARDS CHESHIRE COMPANY LIMITED,23.73,D,67,"1,690",769,932
425,N SETHIA GROUP LTD,88.75,B+,727,"9,173","41,080","48,381"
426,FRILFORD HEATH GOLF CLUB LIMITED(THE),2.04,A+,58,64,"7,434","7,434"
427,NATIONWIDE STRUCTURES LIMITED,8.34,A+,25,297,139,139
428,KEYS EDUCATION LIMITED,194.71,D,181,57,"1,736","2,512"
429,PINEWOOD STUDIOS LIMITED,221.58,D,185,"14,215","62,021","62,021"
430,GRI LIBRA LIMITED,29.94,D,58,"1,684","6,179","10,104"
431,DIGNITY PLC,950.91,A+,"3,306","40,500","254,100","660,700"
432,ANALYSYS MASON LIMITED,7.16,D,418,"1,151",798,"19,072"
433,BRADBURY HAMILTON LIMITED,1.11,D,18,"1,933",0,543
434,WILSON INVESTMENT HOLDINGS LIMITED,31.34,B+,38,328,"2,764","2,764"
435,MAYFORD PARK LIMITED,215.89,D,17,"1,403",7,"3,974"
436,MORECAMBE FOOTBALL CLUB.LIMITED,76.6,D,89,-480,"7,698","7,698"
437,IN AND OUT LIMITED,55.23,A-,44,329,"15,256","15,256"
438,MULTIHOG LIMITED,95.45,D,60,"-2,295","2,500","2,877"
439,SMARTS (NI) LIMITED,4.13,D,55,971,89,353
440,ALPHA FINANCIAL MARKETS CONSULTING UK LIMITED,13.62,D,123,"9,715",235,235
441,UNIVERSAL COAL PLC,119.84,D,168,"27,728","63,155","100,728"
442,BULL BRAND LIMITED,1.49,D,13,439,438,481
443,AXFLOW LIMITED,12.9,D,96,985,787,"1,296"
444,CONSOLIDATED NICKEL MINES LIMITED,226.86,B+,40,"-3,283","4,628","4,628"
445,PLEASE HOLD (UK) LIMITED,35.92,D,422,"11,575","1,256","1,256"
446,MARSDENS CATERERS OF SHEFFIELD LIMITED,5.54,D,587,"3,486","3,520","3,743"
447,ATLANTIC & PENINSULA MARINE SERVICES LIMITED,67.6,D,563,"5,595","11,500","11,700"
448,RALPH LIVESEY LIMITED,74.42,D,104,119,758,758
449,J.B. RINEY & CO. LIMITED,114.26,D,237,87,"3,410","4,270"
450,HAGER LIMITED,33.27,D,20,"1,098",33,33
451,JOHNSONS CARS UK LLP,235.24,U,5,"4,877",295,"19,224"
452,THE ACE SUPPLY HOLDING COMPANY LIMITED,43.96,B+,49,992,263,263
453,TROY (UK) LIMITED,908.42,B+,123,981,"2,637","7,607"
454,BRINTONS CARPETS LIMITED,145.86,D,"1,686","8,663","45,503","54,180"
455,GAME RETAIL LIMITED,10.99,D,"3,649","-11,290","10,227","50,232"
456,MUNRO HEALTHCARE GROUP LIMITED,3.19,D,197,-99,"1,665","3,076"
457,HENCLIFF HOLDINGS LIMITED,15.01,D,1,990,"1,231","1,231"
458,PRIME FOCUS INTERNATIONAL SERVICES UK LIMITED,365.51,D,40,"7,678","6,571","6,571"
459,GLINWELL MARKETING LIMITED,502.33,D,223,"1,873","1,669","1,669"
460,GHI CONTRACTS LIMITED,33.26,D,65,-2,101,101
461,BLAKEDOWN ENVIRONMENT & LEISURE LTD,28.59,D,97,369,"3,077","3,572"
462,JRL GROUP LIMITED,145.4,D,"1,364","30,577","90,083","90,417"
463,BURTON MCCALL LIMITED,9.11,D,77,842,339,339
464,HOTEL MINELLA LIMITED,8.91,B+,89,108,"5,934","5,938"
465,STAFFORD HOUSE SCHOOL OF ENGLISH LIMITED,398.98,D,132,328,443,443
466,VICTORIA BECKHAM LIMITED,408.13,D,148,"-12,280","3,250","5,514"
467,SUNRISE UK OPERATIONS LIMITED,300.46,D,"2,436","-7,277","20,177","20,177"
468,WHOLESALE DOMESTIC EQUIPMENT COMPANY LIMITED,100.89,B+,62,"2,548","4,143","4,143"
469,CLIFTON PACKAGING GROUP LIMITED,30.55,B+,118,"1,179","8,300","8,697"
470,MAJESTIC TOURS LIMITED,1.75,B+,37,-223,156,"3,656"
471,BRADLON DEVELOPMENTS LTD.,1.93,A+,4,92,22,"2,353"
472,INFORMA GLOBAL MARKETS (EUROPE) LIMITED,92.26,D,33,"5,113",2,"9,875"
473,SWIFTOOL PRECISION ENGINEERING LIMITED,128.34,D,105,620,"5,514","5,524"
474,OPTIMUS GROUP LIMITED,119.13,D,40,85,31,"1,712"
475,INFINERA LIMITED,0.25,D,80,-396,352,440
476,ARIENS COMPANY LIMITED,142.28,D,108,104,"4,319","4,491"
477,NEWTON HALL (NORTHUMBERLAND) LIMITED,180.59,D,127,"1,427","11,353","11,353"
478,PGI GROUP LIMITED,84.59,A-,"14,379","10,077","79,838","80,566"
479,WH SOLO HOLDINGS LIMITED,1.42,B+,59,-152,83,"2,853"
480,SPENCER STUART & ASSOCIATES LIMITED,12.26,D,155,697,319,326
481,LONDON AUTO PARTS LIMITED,51.29,B+,12,305,672,"1,286"
482,DUNBIA (PRESTON) LIMITED,222.34,D,701,"2,077","11,070","11,070"
483,SOCIEDADE NACIONAL DE COMBUSTIVEIS DE ANGOLA LTD.,13.76,D,15,73,"3,260","3,306"
484,MIHOMECARE LIMITED,77.06,D,"1,789","-5,628",279,458
485,JOHN A. STEPHENS HOLDINGS LIMITED,2.85,A+,124,"1,228","7,195","7,852"
486,MORGAN SINDALL GROUP PLC,31.45,A+,"6,660","80,600","62,600","380,500"
487,CLAUDE FENTON (HOLDINGS) LIMITED,49.42,A+,90,"3,967","13,500","32,065"
488,LANXESS URETHANES UK LTD,6.16,D,80,380,"3,413","4,181"
489,JOHN GOOD LOGISTICS LIMITED,144.44,D,114,790,335,"2,995"
490,SWANTON CARE & COMMUNITY LIMITED,169.15,D,825,-991,"43,102","44,151"
491,EQUIP4WORK LTD,0.2,D,60,"5,000","1,153","1,250"
492,SIGMA COMPONENTS (FARNBOROUGH) LIMITED,6.13,D,132,566,832,832
493,DRP (UK) LIMITED,45.61,D,229,561,"3,626","3,626"
494,BUSY BEES NURSERIES LIMITED,111.86,D,"3,386","15,289","94,219","98,941"
495,THE FINSBURY GROUP LIMITED,2.7,D,101,"8,409","2,438","2,438"
496,BLANCOMET RECYCLING UK LIMITED,44.06,D,47,179,"1,565","1,565"
497,FISHER CLINICAL SERVICES UK LIMITED,4.76,D,595,"47,378","25,931","77,205"
498,THE CONCRETE COMPANY (THORNEY) LIMITED,27.47,D,64,174,"5,887","5,887"
499,YATE DISPOSABLES LTD,268.75,B+,103,149,"3,563","3,696"
500,CAMBRIDGE GLASSHOUSE COMPANY LIMITED,22.23,D,61,"1,342",90,90
501,HEYN LIMITED,2.05,B+,92,546,345,653
502,T.N.A. EUROPE LIMITED,9.42,D,74,438,99,99
503,DOOCEY HOLDINGS LIMITED,27.51,B+,55,"1,412","1,785","1,856"
504,SIMEC LOCHABER HYDROPOWER 2 LIMITED,17.61,D,96,"-5,187","378,208","392,092"
505,KERR U.K. LIMITED,0.07,D,24,378,35,"4,535"
506,ESJ RESTAURANTS LIMITED,156.38,D,840,"1,107","3,908","9,142"
507,DAROPEANT PROPERTIES LIMITED,79.93,D,77,-174,"3,583","3,583"
508,BEAL SECURITIES LIMITED,20.63,D,130,"7,007",460,"1,910"
509,ABACUS LAWRENCE GROUP LIMITED,53.76,D,68,375,"2,374","3,946"
510,ALKEN FINANCE LLP,1.39,U,10,"10,693",7,7
511,NOTSOSECURE GLOBAL SERVICES LIMITED,0.43,D,24,952,24,27
512,CHAING EQUITIES LIMITED,220.29,B+,527,"3,373","15,380","33,835"
513,MOBKOI LIMITED,15.74,D,37,"3,914",26,235
514,I HOLLAND LIMITED,46.66,D,154,"1,766","3,134","4,521"
515,TURBO POWER SYSTEMS LIMITED,578.92,D,127,"-2,292",575,"1,472"
516,ACTEON GROUP LIMITED,128.03,D,"1,551","-15,306","144,140","367,991"
517,NOC LIMITED,0.76,D,"1,524","1,172",256,558
518,PENN-WHITE LIMITED,11.53,D,26,"1,599",266,291
519,TURNER & TOWNSEND COST MANAGEMENT LIMITED,122.51,D,683,"10,731",578,"1,281"
520,SECURITY HARDWARE LIMITED,87.62,D,23,-38,121,148
521,TRALEE SHOPPING CENTRE (2004) LIMITED,0.77,D,74,752,"1,430","4,229"
522,ST. LEGER SHIPPING LIMITED,136.26,D,2,"3,485","17,051","17,051"
523,PARKHAM FARMS LIMITED,20.28,D,40,804,838,838
524,H.B.CLARK & CO.(SUCCESSORS)LIMITED,90.87,D,281,"1,456","1,727","2,411"
525,COOPERS FIRE LIMITED,119.45,D,97,232,364,364
526,TUBE COMPANY OF IRELAND LIMITED,42.11,D,11,591,55,55
527,NH FOODS U.K. LIMITED,0.01,D,24,-389,189,242
528,GARADOR HOLDINGS LIMITED,3.58,D,119,"3,436","6,383","6,383"
529,WEBGAINS LIMITED,69.22,D,71,-197,222,321
530,BABBLE CLOUD LIMITED,78.13,D,34,590,173,218
531,BELLS OF LAZONBY LIMITED,45.83,D,274,815,"3,397","3,427"
532,PENTLANDS SCIENCE PARK LIMITED,9.67,D,41,166,152,152
533,BATHROOM BRANDS LIMITED,65.86,A,302,"10,310","7,042","30,744"
534,FUNDAMENTAL ASSET MANAGEMENT LIMITED,244.14,A+,5,436,0,35
535,WATLING TYRE SERVICE LIMITED(THE),26.08,D,137,"1,013","4,660","4,660"
536,STINGRAY DIGITAL INTERNATIONAL LIMITED,68.44,D,8,"6,712",7,"41,113"
537,MERRIOTT PLASTICS GROUP LIMITED,20.86,A+,88,675,538,"2,947"
538,SALAMANDER ENERGY LIMITED,167.05,D,260,"88,693","643,022","814,119"
539,MARIA MALLABAND 16 LIMITED,173.32,D,232,700,162,"2,669"
540,THE CONTACT COMPANY LTD,105.25,D,864,-336,"1,365","1,365"
541,WORCESTER CARSALES LIMITED,57.7,D,290,"1,420","1,697","1,799"
542,E.S.A. LIMITED,39.84,D,96,-699,"3,820","8,726"
543,CASTLE OILS LIMITED,6.66,D,10,180,"1,126","1,126"
544,BLUE SKY INTERMODAL (UK) LTD.,218.9,B+,26,"1,825","29,186","29,236"
545,GOZZETT HOLDINGS LIMITED,29.3,D,81,625,"4,475","4,475"
546,SANDCO F.P.S. LIMITED,85.39,B+,155,927,"10,874","11,068"
547,CONCHA Y TORO UK LIMITED,244.91,D,52,"3,887",94,223
548,BARNARD AND BROUGH LIMITED,2.55,D,24,349,131,131
549,HELPFUL HIRINGS LIMITED,43.39,D,24,719,"4,514","4,514"
550,VEOLIA ENERGY IRELAND PUBLIC LIMITED COMPANY,126.5,C,315,"2,348",464,"17,279"
551,IMPERIAL AUTOMOTIVE LIMITED,47.44,B+,104,151,"2,903","2,903"
552,MEDICAL IMAGING UK LIMITED,163,D,307,-52,"1,417","1,417"
553,BODDINGTONS PLASTICS LIMITED,358.42,D,123,-845,"2,698","2,733"
554,SYNTEC HOLDINGS LIMITED,37.88,B+,4,490,737,740
555,ARCHER (UK) LIMITED,43.36,D,706,"12,529","2,022","2,022"
556,"MINOR,WEIR AND WILLIS LIMITED",30.87,D,371,"3,540","7,819","8,477"
557,KYOCERA FINECERAMICS LIMITED,58.55,D,15,"1,755",30,34
558,INTERFIT LIMITED,540.16,D,51,79,2,2
559,THG PLC,138.32,A+,"4,239","1,743","218,195","738,034"
560,HANDSALE LIMITED,155.19,B+,617,"2,087","23,357","28,926"
561,GYRUS MEDICAL LIMITED,1.12,D,212,"6,893","2,235","2,235"
562,H G HAGESAN (UK) LIMITED,135.14,D,13,-347,51,51
563,FREILACKE UK LIMITED,114.4,D,7,86,8,8
564,HEATHVIEW MANAGEMENT COMPANY LIMITED,249.91,B+,31,481,"1,823","1,848"
565,S.J. MESSENGER HAULAGE LIMITED,71.51,U,22,342,653,654
566,UNDERHILL INVESTMENTS LIMITED,0.83,A+,66,706,277,"1,950"
567,LAVEN PARTNERS LIMITED,16.14,D,15,47,21,744
568,RAYTEL GROUP LIMITED,48.62,A+,62,198,"1,777","1,931"
569,GLOBAL FREIGHT SOLUTIONS LTD.,3.19,D,110,"2,000",466,466
570,NEW CIRCUIT HOLDINGS LIMITED,21.44,D,60,345,730,"1,074"
571,ALLMA CONSTRUCTION LIMITED,197.22,D,339,-397,"2,082","2,082"
572,O'HALLORAN & O'BRIEN LIMITED,7.85,D,75,"21,487","18,732","18,732"
573,SKEWBALD LIMITED,488.6,B+,67,315,"10,169","10,169"
574,NORTHWARDS LTD.,138.76,D,93,511,"3,947","3,947"
575,CAFEDIRECT PLC,33.15,B+,27,171,137,228
576,IMERGE HOLDINGS LIMITED,42.09,D,77,125,32,"4,469"
577,CAULFIELD CONTRACTORS LIMITED,128.11,D,21,562,812,812
578,LANHYDROCK GOLF CLUB LIMITED,80.44,B+,61,523,"4,831","4,890"
579,VILICOM UK LIMITED,17.23,D,25,-145,96,96
580,CHESHIRE EAST RESIDENTS FIRST LIMITED,886.75,D,562,452,"2,269","2,290"
581,BANNISTERS ARABLE PRODUCTS LIMITED,1.42,D,228,"1,843","2,342","2,977"
582,UNITED MOLASSES GROUP LIMITED,63.16,D,245,"20,589","32,409","33,442"
583,D.A.ROBERTS FUELS LIMITED,2.31,D,29,739,725,735
584,SANDSTONE ASSET MANAGEMENT LTD,80.99,D,97,48,245,358
585,SNAPE CONTRACTING SERVICES LTD,30.29,D,37,602,104,104
586,CLANSMAN DYNAMICS LIMITED,4.98,D,48,"1,057",473,"1,535"
587,WOODSIDE MOTORFREIGHT LIMITED,55.41,D,91,254,"4,310","4,310"
588,OEG OFFSHORE UK LIMITED,54.49,D,93,"-1,726","52,563","53,229"
589,JEPPESEN U.K. LIMITED,3.65,D,81,"4,955",149,149
590,SI GROUP UK (UKAA) LIMITED,20.52,D,34,328,"1,225",773
591,MJF INTERIORS LIMITED,25.78,D,9,280,25,25
592,DALZIEL LIMITED,617.79,D,473,"14,092","2,871","2,871"
593,RUTLAND WATER CYCLING LIMITED,97.43,D,162,-76,940,"1,095"
594,VALERIE COLTMAN HOLDINGS LIMITED,36.68,D,96,-400,740,783
595,GRENSUE LTD,102.71,D,619,751,"4,321","6,572"
596,COMLINE AUTO PARTS LIMITED,42.95,B+,131,306,373,666
597,WORLDAWARE LIMITED,48.7,D,20,-186,41,59
598,LONDON & DEVONSHIRE TRUST LIMITED,25.9,A+,76,"1,396",95,"3,608"
599,ALMAR ADVISORS LLP,293.84,U,3,,3,3
600,CEVA FREIGHT (UK) LIMITED,113.13,D,281,"13,311","1,278","2,178"
601,DRIVEFIELDS LIMITED,0.07,D,25,"1,863",13,988
602,LONDON LETTING & MANAGEMENT LIMITED,125.23,D,84,"3,428","39,922","40,634"
603,ASD LIGHTING PLC,2.05,D,205,369,"4,495","4,495"
604,ESKER LIMITED,62.66,D,19,802,15,15
605,COTTESWOLD DAIRY LIMITED,60.23,D,350,560,"4,725","4,839"
606,N & B FOODS LIMITED,0.53,D,56,128,176,176
607,THR NUMBER 34 LIMITED,931.14,D,254,825,"16,717","16,717"
608,CYNON VALLEY WASTE DISPOSAL COMPANY LIMITED,50.19,D,56,-41,"3,536","3,537"
609,DUNSTER HOUSE LIMITED,60.53,B+,285,-122,"8,311","8,311"
610,NORTH WEST TRUCK SERVICES LIMITED,25.31,D,105,192,"1,736","1,736"
611,JABCO CAPITAL LIMITED,18.79,D,149,-964,"2,979","3,074"
612,EDDIE ROCKETS (IRELAND) LIMITED,99.08,D,345,"-1,539","7,077","7,168"
613,BRUNNER UK LIMITED,13.73,D,16,"3,751","8,821","11,312"
614,TREND MARINE PRODUCTS LIMITED,407.17,D,180,"-1,385","3,971","3,971"
615,ADVANCED ELASTOMER SYSTEMS LIMITED,2.2,D,92,"6,985","79,888","80,188"
616,JUMBO IMPORTERS LIMITED,0,D,21,482,58,58
617,CCS MCLAYS LIMITED,360.06,B+,70,560,567,567
618,MARS PETCARE UK,46.21,D,"1,027","72,047","86,479","102,896"
619,D4T4 SOLUTIONS PLC,4.89,A+,122,"4,401","3,892","14,238"
620,THE OUTLOOK CREATIVE GROUP LTD,23.24,D,48,549,188,188
621,MILKWOOD CARE LTD,121,B+,356,"1,184","21,968","22,253"
622,YARA UK LIMITED,78.52,D,227,"35,996","37,002","73,130"
623,RUSHTON HALL LIMITED,201.53,D,104,220,"11,750","11,750"
624,INVER ENERGY LIMITED,89.26,D,19,"-1,169","5,797","7,582"
625,PFIZER LIMITED,56.66,D,"2,253","339,299","53,027","276,904"
626,ESL FUELS LIMITED,54.85,B+,12,"-2,179",256,256
627,OPTIDENT LIMITED,17.41,D,47,"2,069",30,105
628,WESTBRIDGE FURNITURE DESIGNS LIMITED,13.81,D,"1,198","1,500","3,061","3,161"
629,MARKEY HOLDINGS LIMITED,41.94,D,319,"5,525","6,199","8,665"
630,S M E ENTERPRISE LIMITED,10.4,D,77,224,"1,311","2,811"
631,LANE 4 MANAGEMENT GROUP LIMITED,24.9,D,188,876,975,975
632,RONTEC ROADSIDE RETAIL LIMITED,270.38,D,116,"27,345","584,881","593,245"
633,KSW ENGINEERING LIMITED,212.29,B+,55,-502,"4,060","4,100"
634,THE NEW FOREST FRUIT COMPANY LIMITED,37.21,D,292,"2,864","3,710","3,710"
635,DCK GROUP LIMITED,139.28,B+,"1,414","2,928","1,821","5,239"
636,CAMLIN RAIL LIMITED,32.24,D,5,347,2,2
637,ESKANDAR LIMITED,6.48,D,54,"1,007",594,595
638,PRS DISTRIBUTION LIMITED,363.78,D,97,580,"7,006","7,449"
639,UK ACCESS SOLUTIONS LIMITED,38.66,D,110,"1,270","5,959","5,959"
640,GN AUDIO UK LIMITED,24.67,D,59,421,110,110
641,LEONARD DESIGN LIMITED,0.93,D,81,618,328,508
642,CILANTRO ENGINEERING UK LTD,54.13,D,106,"4,061",89,89
643,ROTALA PLC,93.6,A+,"1,481","3,650","39,444","54,320"
644,ESCHMANN HOLDINGS LIMITED,6.28,D,223,"-1,046","3,134","3,629"
645,DRIL-QUIP (EUROPE) LIMITED,8.23,D,351,"10,916","22,247","22,658"
646,STEVE GREGOR PLUMBING AND HEATING LIMITED,27.09,D,133,94,764,845
647,ALBA BIOSCIENCE LIMITED,108.65,D,258,-782,"17,334","18,446"
648,EASBY ELECTRONICS LIMITED,102.33,D,39,635,38,38
649,HARRISON SPINKS BEDS LTD,80.42,D,409,599,"2,167","2,387"
650,EUROPARTS MOTOR FACTORS LIMITED,135.94,A+,83,143,"1,973","1,973"
651,FORDS CHESHIRE LIMITED,22.96,A+,6,"1,094",3,3
652,MALHOTRA CARE HOMES (SUNDERLAND) LIMITED,3.7,D,36,12,970,970
653,CLAYTON PROJECT ENGINEERING LIMITED,24.51,D,24,248,15,15
654,RICHARD MILLE LONDON LIMITED,6.51,D,6,"5,617",98,98
655,ATHONA LIMITED,381.09,B+,112,513,125,337
656,NEWSQUEST SPECIALIST MEDIA LIMITED,56.5,D,48,-122,210,257
657,TURTLE BEACH EUROPE LIMITED,201.74,D,31,"2,864",106,118
658,GRAND VISION MEDIA HOLDINGS PLC,101.35,B+,"32,400","286,352","463,939","2,001,288"
659,PRO - DIRECT GROUP LIMITED,33.22,B+,472,-857,"8,081","8,162"
660,VOLAC INTERNATIONAL LIMITED,108.85,D,445,"-1,600","110,000","115,800"
661,C.E.C. HOLDINGS LIMITED,40.75,D,66,158,"6,598","8,391"
662,RESAPOL LIMITED,170.4,B+,60,862,780,871
663,THOMAS STARTIN JUNR. LIMITED,9.59,D,118,708,240,241
664,STARDON (LEEDS) LIMITED,0.9,D,78,641,"7,014","7,014"
665,W R FERRIS LIMITED,406.52,D,82,442,"1,178","1,181"
666,GRAY & ADAMS (DUNFERMLINE) LIMITED,0.19,D,75,"1,602",823,823
667,UNITEDHEALTH GROUP INTERNATIONAL FINANCE (IRELAND) UNLIMITED COMPANY,190.37,D,"44,760","3,598,814","1,186,239","4,003,204"
668,VASCROFT HOLDINGS LTD,9.67,D,114,"1,346","7,019","14,324"
669,SBERBANK CIB (UK) LIMITED,23.38,D,22,"5,578","1,420","2,272"
670,NEWBERY METALS LIMITED,10.23,D,49,"2,831",707,707
671,J D HEALTHCARE LIMITED,48.75,D,158,10,"3,977","5,881"
672,FRANCIS SEARCHLIGHTS LIMITED,7.89,D,31,-40,340,340
