,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
202,HARIBO IRELAND LIMITED,6.5,D,8,947,"1,688","1,688"
203,MADGEX LIMITED,0.44,D,88,"5,852",178,178
204,MANBAT LIMITED,61.97,D,179,774,"2,298","12,551"
205,SCANDINAVIAN TOBACCO GROUP UNITED KINGDOM LIMITED,5.03,D,31,"4,703",116,116
206,FLUOR INDUSTRIAL SERVICES LIMITED,4.37,D,191,406,4,11
207,KELVINSIDE ELECTRONICS (NUMBER 1) LIMITED,22.41,D,70,555,"1,456","1,456"
208,SINGLETON BIRCH LIMITED,81.34,B+,131,"5,631","31,544","34,273"
209,HAWKER SIDDELEY SWITCHGEAR LIMITED,7.63,D,229,"6,188","2,457","2,457"
210,SEKO LOGISTICS (NORTH) LIMITED,24.11,D,6,-1,6,6
211,INTERNATIONAL LOGISTICS GROUP LIMITED,n.a.,D,n.a.,n.a.,n.a.,n.a.
212,SULZER (ABERDEEN) LIMITED,7.43,C,79,"2,728",222,225
213,SANDAL MOTORS (HUDDERSFIELD) LIMITED,544.05,D,102,2,"6,231","6,231"
214,X-RITE LIMITED,66.8,C,22,221,97,97
215,VIC YOUNG (SOUTH SHIELDS) LIMITED,17.12,D,79,174,"5,350","5,350"
216,THE ALUMASC GROUP PLC,110.72,A+,531,"5,374","10,661","35,853"
217,ZALARIS CONSULTING UK LIMITED,5.6,D,32,146,19,19
218,PETER RAMSEY & SONS (DENHOLME) TIMBER LIMITED,64.66,D,150,616,"1,226","1,226"
219,ST. CRONANS ASSOCIATION COMPANY LIMITED BY GUARANTEE,9.95,U,128,53,931,931
220,MDFM HOLDINGS LIMITED,3.74,D,14,658,21,"1,002"
221,DUFFY GROUP HOLDINGS LIMITED,35.75,D,66,"3,171","2,677","20,970"
222,G3 WORLDWIDE MAIL (UK) LIMITED,149.47,D,77,-22,75,75
223,BASEBONE LIMITED,346.93,D,6,965,2,255
224,JOSEPH ROCHFORD GARDENS LIMITED,26.08,D,53,282,"3,045","5,833"
225,SNOW & SEA FRENCH PROPERTIES LIMITED,0.42,D,4,"3,355",62,62
226,TRBR LIMITED,247.36,A+,49,939,573,"1,623"
